,account,number,cost,date,rowname,ind_row,report
410,Remedy Place,0-2,0,2/28/2023,Furniture - NYC,25,Flatiron CF
411,Remedy Place,0-3,0,3/31/2023,Furniture - NYC,25,Flatiron CF
412,Remedy Place,0-4,0,4/30/2023,Furniture - NYC,25,Flatiron CF
413,Remedy Place,0-5,0,5/31/2023,Furniture - NYC,25,Flatiron CF
414,Remedy Place,0-6,0,6/30/2023,Furniture - NYC,25,Flatiron CF
415,Remedy Place,0-7,0,7/31/2023,Furniture - NYC,25,Flatiron CF
416,Remedy Place,0-8,0,8/31/2023,Furniture - NYC,25,Flatiron CF
417,Remedy Place,0-9,0,9/30/2023,Furniture - NYC,25,Flatiron CF
418,Remedy Place,0-10,0,10/31/2023,Furniture - NYC,25,Flatiron CF
419,Remedy Place,0-11,0,11/30/2023,Furniture - NYC,25,Flatiron CF
420,Remedy Place,0-12,-4738.2,12/31/2023,Furniture - NYC,25,Flatiron CF
421,Remedy Place,0-13,0,1/31/2024,Furniture - NYC,25,Flatiron CF
422,Remedy Place,0-14,0,2/29/2024,Furniture - NYC,25,Flatiron CF
423,Remedy Place,0-15,0,3/31/2024,Furniture - NYC,25,Flatiron CF
426,Remedy Place,0-1,0,1/31/2023,Machinery & Equipment,26,Flatiron CF
427,Remedy Place,0-2,0,2/28/2023,Machinery & Equipment,26,Flatiron CF
428,Remedy Place,0-3,0,3/31/2023,Machinery & Equipment,26,Flatiron CF
429,Remedy Place,0-4,0,4/30/2023,Machinery & Equipment,26,Flatiron CF
430,Remedy Place,0-5,0,5/31/2023,Machinery & Equipment,26,Flatiron CF
431,Remedy Place,0-6,0,6/30/2023,Machinery & Equipment,26,Flatiron CF
432,Remedy Place,0-7,0,7/31/2023,Machinery & Equipment,26,Flatiron CF
433,Remedy Place,0-8,0,8/31/2023,Machinery & Equipment,26,Flatiron CF
434,Remedy Place,0-9,0,9/30/2023,Machinery & Equipment,26,Flatiron CF
435,Remedy Place,0-10,0,10/31/2023,Machinery & Equipment,26,Flatiron CF
436,Remedy Place,0-11,0,11/30/2023,Machinery & Equipment,26,Flatiron CF
437,Remedy Place,0-12,0,12/31/2023,Machinery & Equipment,26,Flatiron CF
438,Remedy Place,0-13,0,1/31/2024,Machinery & Equipment,26,Flatiron CF
439,Remedy Place,0-14,-3484,2/29/2024,Machinery & Equipment,26,Flatiron CF
440,Remedy Place,0-15,0,3/31/2024,Machinery & Equipment,26,Flatiron CF
443,Remedy Place,0-1,0,1/31/2023,Receivable - Malkin MD,27,Flatiron CF
444,Remedy Place,0-2,-25000,2/28/2023,Receivable - Malkin MD,27,Flatiron CF
445,Remedy Place,0-3,-25000,3/31/2023,Receivable - Malkin MD,27,Flatiron CF
446,Remedy Place,0-4,-13000,4/30/2023,Receivable - Malkin MD,27,Flatiron CF
447,Remedy Place,0-5,-30000,5/31/2023,Receivable - Malkin MD,27,Flatiron CF
448,Remedy Place,0-6,-24000,6/30/2023,Receivable - Malkin MD,27,Flatiron CF
449,Remedy Place,0-7,-22000,7/31/2023,Receivable - Malkin MD,27,Flatiron CF
450,Remedy Place,0-8,-32500,8/31/2023,Receivable - Malkin MD,27,Flatiron CF
451,Remedy Place,0-9,-13000,9/30/2023,Receivable - Malkin MD,27,Flatiron CF
452,Remedy Place,0-10,-16000,10/31/2023,Receivable - Malkin MD,27,Flatiron CF
453,Remedy Place,0-11,20000,11/30/2023,Receivable - Malkin MD,27,Flatiron CF
454,Remedy Place,0-12,0,12/31/2023,Receivable - Malkin MD,27,Flatiron CF
455,Remedy Place,0-13,0,1/31/2024,Receivable - Malkin MD,27,Flatiron CF
456,Remedy Place,0-14,0,2/29/2024,Receivable - Malkin MD,27,Flatiron CF
457,Remedy Place,0-15,0,3/31/2024,Receivable - Malkin MD,27,Flatiron CF
460,Remedy Place,0-1,-10016,1/31/2023,Net cash provided by investing activities,28,Flatiron CF
461,Remedy Place,0-2,-25000,2/28/2023,Net cash provided by investing activities,28,Flatiron CF
462,Remedy Place,0-3,-32254,3/31/2023,Net cash provided by investing activities,28,Flatiron CF
463,Remedy Place,0-4,-13000,4/30/2023,Net cash provided by investing activities,28,Flatiron CF
464,Remedy Place,0-5,-30000,5/31/2023,Net cash provided by investing activities,28,Flatiron CF
465,Remedy Place,0-6,-24000,6/30/2023,Net cash provided by investing activities,28,Flatiron CF
466,Remedy Place,0-7,-22000,7/31/2023,Net cash provided by investing activities,28,Flatiron CF
467,Remedy Place,0-8,-32500,8/31/2023,Net cash provided by investing activities,28,Flatiron CF
468,Remedy Place,0-9,-24180.07,9/30/2023,Net cash provided by investing activities,28,Flatiron CF
469,Remedy Place,0-10,-16000,10/31/2023,Net cash provided by investing activities,28,Flatiron CF
470,Remedy Place,0-11,20000,11/30/2023,Net cash provided by investing activities,28,Flatiron CF
471,Remedy Place,0-12,-4738.2,12/31/2023,Net cash provided by investing activities,28,Flatiron CF
472,Remedy Place,0-13,0,1/31/2024,Net cash provided by investing activities,28,Flatiron CF
473,Remedy Place,0-14,-3484,2/29/2024,Net cash provided by investing activities,28,Flatiron CF
474,Remedy Place,0-15,0,3/31/2024,Net cash provided by investing activities,28,Flatiron CF
477,Remedy Place,0-1,,1/31/2023,FINANCING ACTIVITIES,29,Flatiron CF
478,Remedy Place,0-2,,2/28/2023,FINANCING ACTIVITIES,29,Flatiron CF
479,Remedy Place,0-3,,3/31/2023,FINANCING ACTIVITIES,29,Flatiron CF
480,Remedy Place,0-4,,4/30/2023,FINANCING ACTIVITIES,29,Flatiron CF
481,Remedy Place,0-5,,5/31/2023,FINANCING ACTIVITIES,29,Flatiron CF
482,Remedy Place,0-6,,6/30/2023,FINANCING ACTIVITIES,29,Flatiron CF
483,Remedy Place,0-7,,7/31/2023,FINANCING ACTIVITIES,29,Flatiron CF
484,Remedy Place,0-8,,8/31/2023,FINANCING ACTIVITIES,29,Flatiron CF
485,Remedy Place,0-9,,9/30/2023,FINANCING ACTIVITIES,29,Flatiron CF
486,Remedy Place,0-10,,10/31/2023,FINANCING ACTIVITIES,29,Flatiron CF
487,Remedy Place,0-11,,11/30/2023,FINANCING ACTIVITIES,29,Flatiron CF
488,Remedy Place,0-12,,12/31/2023,FINANCING ACTIVITIES,29,Flatiron CF
489,Remedy Place,0-13,,1/31/2024,FINANCING ACTIVITIES,29,Flatiron CF
490,Remedy Place,0-14,,2/29/2024,FINANCING ACTIVITIES,29,Flatiron CF
491,Remedy Place,0-15,,3/31/2024,FINANCING ACTIVITIES,29,Flatiron CF
494,Remedy Place,0-1,0,1/31/2023,Retained Earnings,30,Flatiron CF
495,Remedy Place,0-2,0,2/28/2023,Retained Earnings,30,Flatiron CF
496,Remedy Place,0-3,0,3/31/2023,Retained Earnings,30,Flatiron CF
497,Remedy Place,0-4,0,4/30/2023,Retained Earnings,30,Flatiron CF
498,Remedy Place,0-5,0,5/31/2023,Retained Earnings,30,Flatiron CF
499,Remedy Place,0-6,0,6/30/2023,Retained Earnings,30,Flatiron CF
500,Remedy Place,0-7,0,7/31/2023,Retained Earnings,30,Flatiron CF
501,Remedy Place,0-8,0,8/31/2023,Retained Earnings,30,Flatiron CF
502,Remedy Place,0-9,0,9/30/2023,Retained Earnings,30,Flatiron CF
503,Remedy Place,0-10,0,10/31/2023,Retained Earnings,30,Flatiron CF
504,Remedy Place,0-11,0,11/30/2023,Retained Earnings,30,Flatiron CF
505,Remedy Place,0-12,0,12/31/2023,Retained Earnings,30,Flatiron CF
506,Remedy Place,0-13,-48345,1/31/2024,Retained Earnings,30,Flatiron CF
507,Remedy Place,0-14,0,2/29/2024,Retained Earnings,30,Flatiron CF
508,Remedy Place,0-15,0,3/31/2024,Retained Earnings,30,Flatiron CF
511,Remedy Place,0-1,0,1/31/2023,Net cash provided by financing activities,31,Flatiron CF
512,Remedy Place,0-2,0,2/28/2023,Net cash provided by financing activities,31,Flatiron CF
513,Remedy Place,0-3,0,3/31/2023,Net cash provided by financing activities,31,Flatiron CF
514,Remedy Place,0-4,0,4/30/2023,Net cash provided by financing activities,31,Flatiron CF
515,Remedy Place,0-5,0,5/31/2023,Net cash provided by financing activities,31,Flatiron CF
516,Remedy Place,0-6,0,6/30/2023,Net cash provided by financing activities,31,Flatiron CF
517,Remedy Place,0-7,0,7/31/2023,Net cash provided by financing activities,31,Flatiron CF
518,Remedy Place,0-8,0,8/31/2023,Net cash provided by financing activities,31,Flatiron CF
519,Remedy Place,0-9,0,9/30/2023,Net cash provided by financing activities,31,Flatiron CF
520,Remedy Place,0-10,0,10/31/2023,Net cash provided by financing activities,31,Flatiron CF
521,Remedy Place,0-11,0,11/30/2023,Net cash provided by financing activities,31,Flatiron CF
522,Remedy Place,0-12,0,12/31/2023,Net cash provided by financing activities,31,Flatiron CF
523,Remedy Place,0-13,-48345,1/31/2024,Net cash provided by financing activities,31,Flatiron CF
524,Remedy Place,0-14,0,2/29/2024,Net cash provided by financing activities,31,Flatiron CF
525,Remedy Place,0-15,0,3/31/2024,Net cash provided by financing activities,31,Flatiron CF
528,Remedy Place,0-1,55351.51,1/31/2023,NET CASH INCREASE FOR PERIOD,32,Flatiron CF
529,Remedy Place,0-2,-14666.71,2/28/2023,NET CASH INCREASE FOR PERIOD,32,Flatiron CF
530,Remedy Place,0-3,-77909.61,3/31/2023,NET CASH INCREASE FOR PERIOD,32,Flatiron CF
531,Remedy Place,0-4,43918.26,4/30/2023,NET CASH INCREASE FOR PERIOD,32,Flatiron CF
532,Remedy Place,0-5,-22651.44,5/31/2023,NET CASH INCREASE FOR PERIOD,32,Flatiron CF
533,Remedy Place,0-6,-73038.56,6/30/2023,NET CASH INCREASE FOR PERIOD,32,Flatiron CF
534,Remedy Place,0-7,14975.24,7/31/2023,NET CASH INCREASE FOR PERIOD,32,Flatiron CF
535,Remedy Place,0-8,-24996.01,8/31/2023,NET CASH INCREASE FOR PERIOD,32,Flatiron CF
536,Remedy Place,0-9,-47475.53,9/30/2023,NET CASH INCREASE FOR PERIOD,32,Flatiron CF
537,Remedy Place,0-10,-27742.13,10/31/2023,NET CASH INCREASE FOR PERIOD,32,Flatiron CF
538,Remedy Place,0-11,48870.37,11/30/2023,NET CASH INCREASE FOR PERIOD,32,Flatiron CF
539,Remedy Place,0-12,-159157.74,12/31/2023,NET CASH INCREASE FOR PERIOD,32,Flatiron CF
540,Remedy Place,0-13,91413.38,1/31/2024,NET CASH INCREASE FOR PERIOD,32,Flatiron CF
541,Remedy Place,0-14,42256.04,2/29/2024,NET CASH INCREASE FOR PERIOD,32,Flatiron CF
542,Remedy Place,0-15,40317.39,3/31/2024,NET CASH INCREASE FOR PERIOD,32,Flatiron CF
1,Remedy Place,0-1,,1/31/2023,Income,1,Flatiron PL
2,Remedy Place,0-2,,2/28/2023,Income,1,Flatiron PL
3,Remedy Place,0-3,,3/31/2023,Income,1,Flatiron PL
4,Remedy Place,0-4,,4/30/2023,Income,1,Flatiron PL
5,Remedy Place,0-5,,5/31/2023,Income,1,Flatiron PL
6,Remedy Place,0-6,,6/30/2023,Income,1,Flatiron PL
7,Remedy Place,0-7,,7/31/2023,Income,1,Flatiron PL
8,Remedy Place,0-8,,8/31/2023,Income,1,Flatiron PL
9,Remedy Place,0-9,,9/30/2023,Income,1,Flatiron PL
10,Remedy Place,0-10,,10/31/2023,Income,1,Flatiron PL
11,Remedy Place,0-11,,11/30/2023,Income,1,Flatiron PL
12,Remedy Place,0-12,,12/31/2023,Income,1,Flatiron PL
13,Remedy Place,0-13,,1/31/2024,Income,1,Flatiron PL
14,Remedy Place,0-14,,2/29/2024,Income,1,Flatiron PL
15,Remedy Place,0-15,,3/31/2024,Income,1,Flatiron PL
18,Remedy Place,0-1,57010,1/31/2023,Membership Revenue,2,Flatiron PL
19,Remedy Place,0-2,55950,2/28/2023,Membership Revenue,2,Flatiron PL
20,Remedy Place,0-3,60867.93,3/31/2023,Membership Revenue,2,Flatiron PL
21,Remedy Place,0-4,49535.97,4/30/2023,Membership Revenue,2,Flatiron PL
22,Remedy Place,0-5,57447.86,5/31/2023,Membership Revenue,2,Flatiron PL
23,Remedy Place,0-6,54761.92,6/30/2023,Membership Revenue,2,Flatiron PL
24,Remedy Place,0-7,58156.56,7/31/2023,Membership Revenue,2,Flatiron PL
25,Remedy Place,0-8,47536.63,8/31/2023,Membership Revenue,2,Flatiron PL
26,Remedy Place,0-9,61505,9/30/2023,Membership Revenue,2,Flatiron PL
27,Remedy Place,0-10,56476.15,10/31/2023,Membership Revenue,2,Flatiron PL
28,Remedy Place,0-11,88930.08,11/30/2023,Membership Revenue,2,Flatiron PL
29,Remedy Place,0-12,54000,12/31/2023,Membership Revenue,2,Flatiron PL
30,Remedy Place,0-13,64315,1/31/2024,Membership Revenue,2,Flatiron PL
31,Remedy Place,0-14,74210,2/29/2024,Membership Revenue,2,Flatiron PL
32,Remedy Place,0-15,65855,3/31/2024,Membership Revenue,2,Flatiron PL
35,Remedy Place,0-1,0,1/31/2023,Non - Membership Revenue,3,Flatiron PL
36,Remedy Place,0-2,0,2/28/2023,Non - Membership Revenue,3,Flatiron PL
37,Remedy Place,0-3,0,3/31/2023,Non - Membership Revenue,3,Flatiron PL
38,Remedy Place,0-4,0,4/30/2023,Non - Membership Revenue,3,Flatiron PL
39,Remedy Place,0-5,12866.86,5/31/2023,Non - Membership Revenue,3,Flatiron PL
40,Remedy Place,0-6,0,6/30/2023,Non - Membership Revenue,3,Flatiron PL
41,Remedy Place,0-7,0,7/31/2023,Non - Membership Revenue,3,Flatiron PL
42,Remedy Place,0-8,0,8/31/2023,Non - Membership Revenue,3,Flatiron PL
43,Remedy Place,0-9,0,9/30/2023,Non - Membership Revenue,3,Flatiron PL
44,Remedy Place,0-10,0,10/31/2023,Non - Membership Revenue,3,Flatiron PL
45,Remedy Place,0-11,0,11/30/2023,Non - Membership Revenue,3,Flatiron PL
46,Remedy Place,0-12,0,12/31/2023,Non - Membership Revenue,3,Flatiron PL
47,Remedy Place,0-13,0,1/31/2024,Non - Membership Revenue,3,Flatiron PL
48,Remedy Place,0-14,0,2/29/2024,Non - Membership Revenue,3,Flatiron PL
49,Remedy Place,0-15,0,3/31/2024,Non - Membership Revenue,3,Flatiron PL
52,Remedy Place,0-1,2500,1/31/2023,Events Revenue,4,Flatiron PL
53,Remedy Place,0-2,0,2/28/2023,Events Revenue,4,Flatiron PL
54,Remedy Place,0-3,0,3/31/2023,Events Revenue,4,Flatiron PL
55,Remedy Place,0-4,0,4/30/2023,Events Revenue,4,Flatiron PL
56,Remedy Place,0-5,0,5/31/2023,Events Revenue,4,Flatiron PL
57,Remedy Place,0-6,0,6/30/2023,Events Revenue,4,Flatiron PL
58,Remedy Place,0-7,0,7/31/2023,Events Revenue,4,Flatiron PL
59,Remedy Place,0-8,0,8/31/2023,Events Revenue,4,Flatiron PL
60,Remedy Place,0-9,5000,9/30/2023,Events Revenue,4,Flatiron PL
61,Remedy Place,0-10,0,10/31/2023,Events Revenue,4,Flatiron PL
62,Remedy Place,0-11,0,11/30/2023,Events Revenue,4,Flatiron PL
63,Remedy Place,0-12,0,12/31/2023,Events Revenue,4,Flatiron PL
64,Remedy Place,0-13,0,1/31/2024,Events Revenue,4,Flatiron PL
65,Remedy Place,0-14,0,2/29/2024,Events Revenue,4,Flatiron PL
66,Remedy Place,0-15,0,3/31/2024,Events Revenue,4,Flatiron PL
69,Remedy Place,0-1,6500,1/31/2023,Internal Events Revenue,5,Flatiron PL
70,Remedy Place,0-2,2000,2/28/2023,Internal Events Revenue,5,Flatiron PL
71,Remedy Place,0-3,25000,3/31/2023,Internal Events Revenue,5,Flatiron PL
72,Remedy Place,0-4,0,4/30/2023,Internal Events Revenue,5,Flatiron PL
73,Remedy Place,0-5,0,5/31/2023,Internal Events Revenue,5,Flatiron PL
74,Remedy Place,0-6,20600,6/30/2023,Internal Events Revenue,5,Flatiron PL
75,Remedy Place,0-7,0,7/31/2023,Internal Events Revenue,5,Flatiron PL
76,Remedy Place,0-8,0,8/31/2023,Internal Events Revenue,5,Flatiron PL
77,Remedy Place,0-9,27765,9/30/2023,Internal Events Revenue,5,Flatiron PL
78,Remedy Place,0-10,1750,10/31/2023,Internal Events Revenue,5,Flatiron PL
79,Remedy Place,0-11,27500,11/30/2023,Internal Events Revenue,5,Flatiron PL
80,Remedy Place,0-12,0,12/31/2023,Internal Events Revenue,5,Flatiron PL
81,Remedy Place,0-13,66000,1/31/2024,Internal Events Revenue,5,Flatiron PL
82,Remedy Place,0-14,0,2/29/2024,Internal Events Revenue,5,Flatiron PL
83,Remedy Place,0-15,1900,3/31/2024,Internal Events Revenue,5,Flatiron PL
86,Remedy Place,0-1,9000,1/31/2023,Total Events Revenue,6,Flatiron PL
87,Remedy Place,0-2,2000,2/28/2023,Total Events Revenue,6,Flatiron PL
88,Remedy Place,0-3,25000,3/31/2023,Total Events Revenue,6,Flatiron PL
89,Remedy Place,0-4,0,4/30/2023,Total Events Revenue,6,Flatiron PL
90,Remedy Place,0-5,0,5/31/2023,Total Events Revenue,6,Flatiron PL
91,Remedy Place,0-6,20600,6/30/2023,Total Events Revenue,6,Flatiron PL
92,Remedy Place,0-7,0,7/31/2023,Total Events Revenue,6,Flatiron PL
93,Remedy Place,0-8,0,8/31/2023,Total Events Revenue,6,Flatiron PL
94,Remedy Place,0-9,32765,9/30/2023,Total Events Revenue,6,Flatiron PL
95,Remedy Place,0-10,1750,10/31/2023,Total Events Revenue,6,Flatiron PL
96,Remedy Place,0-11,27500,11/30/2023,Total Events Revenue,6,Flatiron PL
97,Remedy Place,0-12,0,12/31/2023,Total Events Revenue,6,Flatiron PL
98,Remedy Place,0-13,66000,1/31/2024,Total Events Revenue,6,Flatiron PL
99,Remedy Place,0-14,0,2/29/2024,Total Events Revenue,6,Flatiron PL
100,Remedy Place,0-15,1900,3/31/2024,Total Events Revenue,6,Flatiron PL
103,Remedy Place,0-1,0,1/31/2023,Partnership Revenue,7,Flatiron PL
104,Remedy Place,0-2,0,2/28/2023,Partnership Revenue,7,Flatiron PL
105,Remedy Place,0-3,8000,3/31/2023,Partnership Revenue,7,Flatiron PL
106,Remedy Place,0-4,0,4/30/2023,Partnership Revenue,7,Flatiron PL
107,Remedy Place,0-5,0,5/31/2023,Partnership Revenue,7,Flatiron PL
108,Remedy Place,0-6,0,6/30/2023,Partnership Revenue,7,Flatiron PL
109,Remedy Place,0-7,0,7/31/2023,Partnership Revenue,7,Flatiron PL
110,Remedy Place,0-8,0,8/31/2023,Partnership Revenue,7,Flatiron PL
111,Remedy Place,0-9,0,9/30/2023,Partnership Revenue,7,Flatiron PL
112,Remedy Place,0-10,0,10/31/2023,Partnership Revenue,7,Flatiron PL
113,Remedy Place,0-11,0,11/30/2023,Partnership Revenue,7,Flatiron PL
114,Remedy Place,0-12,0,12/31/2023,Partnership Revenue,7,Flatiron PL
115,Remedy Place,0-13,1250,1/31/2024,Partnership Revenue,7,Flatiron PL
116,Remedy Place,0-14,1250,2/29/2024,Partnership Revenue,7,Flatiron PL
117,Remedy Place,0-15,3750,3/31/2024,Partnership Revenue,7,Flatiron PL
120,Remedy Place,0-1,0,1/31/2023,Practitioner Revenue,8,Flatiron PL
121,Remedy Place,0-2,0,2/28/2023,Practitioner Revenue,8,Flatiron PL
122,Remedy Place,0-3,0,3/31/2023,Practitioner Revenue,8,Flatiron PL
123,Remedy Place,0-4,0,4/30/2023,Practitioner Revenue,8,Flatiron PL
124,Remedy Place,0-5,0,5/31/2023,Practitioner Revenue,8,Flatiron PL
125,Remedy Place,0-6,0,6/30/2023,Practitioner Revenue,8,Flatiron PL
126,Remedy Place,0-7,0,7/31/2023,Practitioner Revenue,8,Flatiron PL
127,Remedy Place,0-8,0,8/31/2023,Practitioner Revenue,8,Flatiron PL
128,Remedy Place,0-9,0,9/30/2023,Practitioner Revenue,8,Flatiron PL
129,Remedy Place,0-10,0,10/31/2023,Practitioner Revenue,8,Flatiron PL
130,Remedy Place,0-11,0,11/30/2023,Practitioner Revenue,8,Flatiron PL
131,Remedy Place,0-12,0,12/31/2023,Practitioner Revenue,8,Flatiron PL
132,Remedy Place,0-13,0,1/31/2024,Practitioner Revenue,8,Flatiron PL
133,Remedy Place,0-14,0,2/29/2024,Practitioner Revenue,8,Flatiron PL
134,Remedy Place,0-15,0,3/31/2024,Practitioner Revenue,8,Flatiron PL
137,Remedy Place,0-1,6847.98,1/31/2023,Chinese Medicine Revenue,9,Flatiron PL
138,Remedy Place,0-2,10214,2/28/2023,Chinese Medicine Revenue,9,Flatiron PL
139,Remedy Place,0-3,10050.92,3/31/2023,Chinese Medicine Revenue,9,Flatiron PL
140,Remedy Place,0-4,7687.45,4/30/2023,Chinese Medicine Revenue,9,Flatiron PL
141,Remedy Place,0-5,8880.81,5/31/2023,Chinese Medicine Revenue,9,Flatiron PL
142,Remedy Place,0-6,4474.99,6/30/2023,Chinese Medicine Revenue,9,Flatiron PL
143,Remedy Place,0-7,5226.75,7/31/2023,Chinese Medicine Revenue,9,Flatiron PL
144,Remedy Place,0-8,4066.25,8/31/2023,Chinese Medicine Revenue,9,Flatiron PL
145,Remedy Place,0-9,2846.75,9/30/2023,Chinese Medicine Revenue,9,Flatiron PL
146,Remedy Place,0-10,1000,10/31/2023,Chinese Medicine Revenue,9,Flatiron PL
147,Remedy Place,0-11,1295,11/30/2023,Chinese Medicine Revenue,9,Flatiron PL
148,Remedy Place,0-12,2366.44,12/31/2023,Chinese Medicine Revenue,9,Flatiron PL
149,Remedy Place,0-13,250,1/31/2024,Chinese Medicine Revenue,9,Flatiron PL
150,Remedy Place,0-14,875,2/29/2024,Chinese Medicine Revenue,9,Flatiron PL
151,Remedy Place,0-15,0,3/31/2024,Chinese Medicine Revenue,9,Flatiron PL
154,Remedy Place,0-1,11090,1/31/2023,Functional Medicine Revenue,10,Flatiron PL
155,Remedy Place,0-2,1179.57,2/28/2023,Functional Medicine Revenue,10,Flatiron PL
156,Remedy Place,0-3,-516.8,3/31/2023,Functional Medicine Revenue,10,Flatiron PL
157,Remedy Place,0-4,4377.22,4/30/2023,Functional Medicine Revenue,10,Flatiron PL
158,Remedy Place,0-5,1960.97,5/31/2023,Functional Medicine Revenue,10,Flatiron PL
159,Remedy Place,0-6,2426.09,6/30/2023,Functional Medicine Revenue,10,Flatiron PL
160,Remedy Place,0-7,1290.86,7/31/2023,Functional Medicine Revenue,10,Flatiron PL
161,Remedy Place,0-8,-437.72,8/31/2023,Functional Medicine Revenue,10,Flatiron PL
162,Remedy Place,0-9,96.61,9/30/2023,Functional Medicine Revenue,10,Flatiron PL
163,Remedy Place,0-10,142.54,10/31/2023,Functional Medicine Revenue,10,Flatiron PL
164,Remedy Place,0-11,-176.78,11/30/2023,Functional Medicine Revenue,10,Flatiron PL
165,Remedy Place,0-12,-101.59,12/31/2023,Functional Medicine Revenue,10,Flatiron PL
166,Remedy Place,0-13,9250,1/31/2024,Functional Medicine Revenue,10,Flatiron PL
167,Remedy Place,0-14,6.04,2/29/2024,Functional Medicine Revenue,10,Flatiron PL
168,Remedy Place,0-15,79.4,3/31/2024,Functional Medicine Revenue,10,Flatiron PL
171,Remedy Place,0-1,13817.1,1/31/2023,IV/Drip Revenue,11,Flatiron PL
172,Remedy Place,0-2,14765.5,2/28/2023,IV/Drip Revenue,11,Flatiron PL
173,Remedy Place,0-3,16423,3/31/2023,IV/Drip Revenue,11,Flatiron PL
174,Remedy Place,0-4,15839.66,4/30/2023,IV/Drip Revenue,11,Flatiron PL
175,Remedy Place,0-5,15842.49,5/31/2023,IV/Drip Revenue,11,Flatiron PL
176,Remedy Place,0-6,5415,6/30/2023,IV/Drip Revenue,11,Flatiron PL
177,Remedy Place,0-7,5240,7/31/2023,IV/Drip Revenue,11,Flatiron PL
178,Remedy Place,0-8,4022,8/31/2023,IV/Drip Revenue,11,Flatiron PL
179,Remedy Place,0-9,3151,9/30/2023,IV/Drip Revenue,11,Flatiron PL
180,Remedy Place,0-10,7670.49,10/31/2023,IV/Drip Revenue,11,Flatiron PL
181,Remedy Place,0-11,2345,11/30/2023,IV/Drip Revenue,11,Flatiron PL
182,Remedy Place,0-12,5540,12/31/2023,IV/Drip Revenue,11,Flatiron PL
183,Remedy Place,0-13,0,1/31/2024,IV/Drip Revenue,11,Flatiron PL
184,Remedy Place,0-14,1998,2/29/2024,IV/Drip Revenue,11,Flatiron PL
185,Remedy Place,0-15,0,3/31/2024,IV/Drip Revenue,11,Flatiron PL
188,Remedy Place,0-1,4378.11,1/31/2023,Movement Revenue,12,Flatiron PL
189,Remedy Place,0-2,6588.1,2/28/2023,Movement Revenue,12,Flatiron PL
190,Remedy Place,0-3,8477.85,3/31/2023,Movement Revenue,12,Flatiron PL
191,Remedy Place,0-4,7174.83,4/30/2023,Movement Revenue,12,Flatiron PL
192,Remedy Place,0-5,5690,5/31/2023,Movement Revenue,12,Flatiron PL
193,Remedy Place,0-6,11674.09,6/30/2023,Movement Revenue,12,Flatiron PL
194,Remedy Place,0-7,4300,7/31/2023,Movement Revenue,12,Flatiron PL
195,Remedy Place,0-8,6796.69,8/31/2023,Movement Revenue,12,Flatiron PL
196,Remedy Place,0-9,4032.66,9/30/2023,Movement Revenue,12,Flatiron PL
197,Remedy Place,0-10,5006.33,10/31/2023,Movement Revenue,12,Flatiron PL
198,Remedy Place,0-11,8755,11/30/2023,Movement Revenue,12,Flatiron PL
199,Remedy Place,0-12,6647.78,12/31/2023,Movement Revenue,12,Flatiron PL
200,Remedy Place,0-13,850,1/31/2024,Movement Revenue,12,Flatiron PL
201,Remedy Place,0-14,1411,2/29/2024,Movement Revenue,12,Flatiron PL
202,Remedy Place,0-15,0,3/31/2024,Movement Revenue,12,Flatiron PL
205,Remedy Place,0-1,36133.19,1/31/2023,Total Practitioner Revenue,13,Flatiron PL
206,Remedy Place,0-2,32747.17,2/28/2023,Total Practitioner Revenue,13,Flatiron PL
207,Remedy Place,0-3,34434.97,3/31/2023,Total Practitioner Revenue,13,Flatiron PL
208,Remedy Place,0-4,35079.16,4/30/2023,Total Practitioner Revenue,13,Flatiron PL
209,Remedy Place,0-5,32374.27,5/31/2023,Total Practitioner Revenue,13,Flatiron PL
210,Remedy Place,0-6,23990.17,6/30/2023,Total Practitioner Revenue,13,Flatiron PL
211,Remedy Place,0-7,16057.61,7/31/2023,Total Practitioner Revenue,13,Flatiron PL
212,Remedy Place,0-8,14447.22,8/31/2023,Total Practitioner Revenue,13,Flatiron PL
213,Remedy Place,0-9,10127.02,9/30/2023,Total Practitioner Revenue,13,Flatiron PL
214,Remedy Place,0-10,13819.36,10/31/2023,Total Practitioner Revenue,13,Flatiron PL
215,Remedy Place,0-11,12218.22,11/30/2023,Total Practitioner Revenue,13,Flatiron PL
216,Remedy Place,0-12,14452.63,12/31/2023,Total Practitioner Revenue,13,Flatiron PL
217,Remedy Place,0-13,10350,1/31/2024,Total Practitioner Revenue,13,Flatiron PL
218,Remedy Place,0-14,4290.04,2/29/2024,Total Practitioner Revenue,13,Flatiron PL
219,Remedy Place,0-15,79.4,3/31/2024,Total Practitioner Revenue,13,Flatiron PL
222,Remedy Place,0-1,69792.62,1/31/2023,Tech Remedies Revenue,14,Flatiron PL
223,Remedy Place,0-2,72496.81,2/28/2023,Tech Remedies Revenue,14,Flatiron PL
224,Remedy Place,0-3,78294.46,3/31/2023,Tech Remedies Revenue,14,Flatiron PL
225,Remedy Place,0-4,71788.64,4/30/2023,Tech Remedies Revenue,14,Flatiron PL
226,Remedy Place,0-5,73414.62,5/31/2023,Tech Remedies Revenue,14,Flatiron PL
227,Remedy Place,0-6,71363.5,6/30/2023,Tech Remedies Revenue,14,Flatiron PL
228,Remedy Place,0-7,73390.38,7/31/2023,Tech Remedies Revenue,14,Flatiron PL
